original_name,encoded_name
Nike Air Jordans 1 Bred Toe,0.55858397
Air Jordan,0.51945511
WTS BNDS/VNDS,0.428475495
US Nike Air Jordan 1 Low Vintage Grey,0.55858397
AIR JORDAN SHOES MID,0.548646525
Nk Dunk Low Panda Prank-Street Graffiti Line Graffiti Old Style,0.428475495
High Quality High Top Basketball Shoes,0.428475495
Nike Dunk Lows/AJ1 BUNDLE,0.428475495
Nike Low Dunk women size US 8.5,0.55858397
Jordan 1 Low 85 Neutral Grey,0.55858397
Air Jordan 1 KO Chicago,0.428475495
Air Jordan 3 UNC NIKE E RE,0.55858397
Jordan Why Not .6,0.428475495
AMBUSH x Nike Air Force 1 Low Phantom White Sneakers,0.55858397
Air Jordan 4 Retro Craft,0.422691542
Nike Wmns Dunk Low Photon Dust,0.564542606
Air Jordan 4 Mushroom,0.428475495
Nike Air Max 90 ,0.55858397
Nike Air Max,0.470901103
NK Air Jordan Legacy 312 High Casual shoes sports shoes basketball shoes. COD ,0.55858397
Nike Dunk Low Black White,0.55858397
Clearance,0.428475495
WTS! Clearing for space,0.428475495
"[US 8.5W, US 5W - US 10W Pre-order] Nike Dunk Low Twist ""Panda""",0.428475495
"Air Jordan 1 Retro High OG ""Obsidian/University Blue"" sneakers Men US 8",0.428475495
WTS Kobe 6 Reverse Grinch / Air Jordan 4 Bred,0.428475495
WTS BNIB Jordan 1 UNC Toe,0.428475495
jordan 3s,0.55858397
WTS Nike dunk lot 42 & Air max 1 travis scott,0.428475495
Nike Air Jordan 1 Mid Armory,0.493617074
aj Air JORDAN 1 High,0.428475495
Air Jordan 1 Low 'Inside Out',0.428475495
Air Jordan 1 Low Travis Scott Olive,0.55858397
Nike Air Jordan 1 Mid Armory,0.493617074
US10Nike SB Dunk Born X Raised,0.570943531
Nike dunk high premium light chocolate,0.55858397
Air Jordan 1 mid Varsity,0.428475495
Air Jordan 1 Mid SE Amarillo Orange,0.55858397
nike blazer mid 77 vintage,0.55858397
Air Jordan 4 Union Guava,0.55858397
Air Jordan 4 - Light Brown,0.428475495
WTS some shoes,0.55858397
Nike Air Max,0.470901103
Jordan Series SE Rui,0.428475495
Nike Air Max 97 Triple White,0.428475495
NIKE sb Dunk Low Demon Kurama Air Cushion,0.55858397
Jordan AJ1,0.564542606
"Air Jordan 4 Retro "" Raptors",0.428475495
Nike Wmns Dunk Low Blue Paisley,0.564542606
US10Nike SB Dunk Born X Raised,0.570943531
Air Jordan 4 Midnight Navy,0.564542606
Nike Blazer Mid77 VNTG,0.428475495
Nike women low dunk,0.55858397
Air Jordan 4 Pure Money AJ4 ,0.422691542
Air Jordan 6 hare,0.428475495
Nike dunk High Laser Blue,0.493617074
New NIKE Travis Scott x Air Jordan 1 Low black and white Panda,0.55858397
Air Jordan,0.51945511
Air Jordan 1 Low OG Year Of The Dragon,0.55858397
"Lebron James Shoes XIII, women 100% Authentic. Free delivery",0.428475495
New NIKE Air Jordan 1 Mid,0.55858397
US11 nike sb dunk low tightbooth,0.55858397
NK Air Jordan Legacy Low Casual shoessports shoesbasketball shoes.COD168148,0.55858397
Nike Dunk Low Retro Reverse Brazil dunks jordan adidas nike SB dunk,0.55858397
Air Jordan 4 - Fire Red,0.428475495
"Jordan Air Jordan 1 High 85 "" Black White """,0.428475495
Nike Air Max 90 Golf,0.55858397
Air Jordan 4 Retro Taupe Haze,0.422691542
Air Jordan 1 low bred toe,0.55858397
